DB|Table|Concat|ID||||||||
MA_DemoDM01|Employees_Extract.csv|MA_DemoDM01Employees_Extract.csv|249||||||||
MA_DemoDM01|EmployeeTerritories_Extract.csv|MA_DemoDM01EmployeeTerritories_Extract.csv|250||||||||
MA_DemoDM01|Order_Details_Extract.csv|MA_DemoDM01Order_Details_Extract.csv|251||||||||
MA_DemoDM01|Order_Details_1996_Extract.csv|MA_DemoDM01Order_Details_1996_Extract.csv|252||||||||
MA_DemoDM01|Order_Details_1997_Extract.csv|MA_DemoDM01Order_Details_1997_Extract.csv|253||||||||
MA_DemoDM01|Order_Details_1998_Extract.csv|MA_DemoDM01Order_Details_1998_Extract.csv|254||||||||
MA_DemoDM01|Orders_1996_Extract.csv|MA_DemoDM01Orders_1996_Extract.csv|255||||||||
MA_DemoDM01|Orders_1997_Extract.csv|MA_DemoDM01Orders_1997_Extract.csv|256||||||||
MA_DemoDM01|Orders_1998_Extract.csv|MA_DemoDM01Orders_1998_Extract.csv|257||||||||
MA_DemoDM01|Orders_Extract.csv|MA_DemoDM01Orders_Extract.csv|258||||||||
MA_DemoDM01|Products_Extract.csv|MA_DemoDM01Products_Extract.csv|259||||||||
MA_DemoDM01|Region_Extract.csv|MA_DemoDM01Region_Extract.csv|260||||||||
MA_DemoDM01|Shippers_Extract.csv|MA_DemoDM01Shippers_Extract.csv|261||||||||
MA_DemoDM01|Suppliers_Extract.csv|MA_DemoDM01Suppliers_Extract.csv|262||||||||
MA_DemoDM01|Territories_Extract.csv|MA_DemoDM01Territories_Extract.csv|263||||||||
MA_DemoDM01|DIM_Supplier|MA_DemoDM01DIM_Supplier|264||||||||
MA_DemoDM01|DIM_Product|MA_DemoDM01DIM_Product|265||||||||
MA_DemoDM01|DIM_Customer|MA_DemoDM01DIM_Customer|266||||||||
MA_DemoDM01|DIM_Employee|MA_DemoDM01DIM_Employee|267||||||||
MA_DemoDM01|FCT_Order|MA_DemoDM01FCT_Order|268||||||||
MA_DemoDM01|DIM_Time|MA_DemoDM01DIM_Time|269||||||||
Report|[Order Details]|Report[Order Details]|270||||||||
Report|Categories|ReportCategories|271||||||||
Report|Categories_Extract|ReportCategories_Extract|272||||||||
Report|Customers|ReportCustomers|273||||||||
Report|Customers_Extract|ReportCustomers_Extract|274||||||||
Report|Employees|ReportEmployees|275||||||||
Report|Employees_Extract|ReportEmployees_Extract|276||||||||
Report|EmployeeTerritories|ReportEmployeeTerritories|277||||||||
Report|EmployeeTerritories_Extract|ReportEmployeeTerritories_Extract|278||||||||
Report|Order_Details_Order_AGGR|ReportOrder_Details_Order_AGGR|279||||||||
Report|Order_Details_Product_AGGR|ReportOrder_Details_Product_AGGR|280||||||||
Report|Order_Details_Extract|ReportOrder_Details_Extract|281||||||||
Report|Order_Details_1996_Extract|ReportOrder_Details_1996_Extract|282||||||||
Report|Order_Details_1997_Extract|ReportOrder_Details_1997_Extract|283||||||||
Report|Order_Details_1998_Extract|ReportOrder_Details_1998_Extract|284||||||||
Report|Orders|ReportOrders|285||||||||
Report|Orders_1996_Extract|ReportOrders_1996_Extract|286||||||||
Report|Orders_1997_Extract|ReportOrders_1997_Extract|287||||||||
Report|Orders_1998_Extract|ReportOrders_1998_Extract|288||||||||
Report|Orders_Extract|ReportOrders_Extract|289||||||||
Report|Products|ReportProducts|290||||||||
Report|Products_Extract|ReportProducts_Extract|291||||||||
Report|Region|ReportRegion|292||||||||
Report|Region_Extract|ReportRegion_Extract|293||||||||
Report|Shippers|ReportShippers|294||||||||
Report|Shippers_Extract|ReportShippers_Extract|295||||||||
Report|Suppliers|ReportSuppliers|296||||||||
Report|Suppliers_Extract|ReportSuppliers_Extract|297||||||||
Report|Territories|ReportTerritories|298||||||||
